"BehaviorSpace results (NetLogo 6.1.1)"
"Modelo.nlogo"
"experiment"
"07/03/2020 01:42:04:206 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","12","13","13","13","13","13","13","13","13","13","14","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","18","19","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","21","21","21","21","21","21","21","21","21","22","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","23","23","24","24","24","24","24","24","24","24","24","25","25","25","25","25","25","25","25","25","26","26","26","26","26","26","26","26","26","27","27","27","27","27","27","27","27","27","28","28","28","28","28","28","28","28","28","29","29","29","29","29","29","29","29","29","30","30","30","30","30","30","30","30","30","31","31","31","31","31","31","31","31","31","32","32","32","32","32","32","32","32","32","33","33","33","33","33","33","33","33","33","34","34","34","34","34","34","34","34","34","35","35","35","35","35","35","35","35","35","36","36","36","36","36","36","36","36","36","37","37","37","37","37","37","37","37","37","38","38","38","38","38","38","38","38","38","39","39","39","39","39","39","39","39","39","40","40","40","40","40","40","40","40","40"
"fakenews-rate","10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,
"public-groups?","true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,
"num-users","1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,,"1000",,,,,,,,
"graphics?","false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,
"debug?","false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,,"false",,,,,,,,
"perc-public-groups","8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"8",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,,"22",,,,,,,,
"[reporter]","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users"
"[final]","455971","454966","79","42730","70","956","21","23","1.005","462019","460986","108","52123","75","952","24","24","1.033","461530","460503","100","44335","71","958","22","20","1.027","461695","460627","104","42279","77","960","19","21","1.068","450874","449834","124","58911","73","947","29","24","1.04","468960","467881","109","44439","71","955","23","22","1.079","450339","449295","104","42298","95","940","22","38","1.044","452756","451707","98","47156","79","946","26","28","1.049","466509","465500","107","52668","95","933","33","34","1.009","475020","473969","87","41165","76","958","19","23","1.051","534316","533276","109","58136","227","861","58","81","1.04","580076","578989","119","69294","238","855","67","78","1.087","507938","506943","94","43271","207","868","61","71","0.995","490855","489863","108","48709","251","850","66","84","0.992","532765","531715","120","62613","239","847","78","75","1.05","480259","479267","100","48528","199","871","56","73","0.992","479743","478790","91","49733","205","859","76","65","0.953","572028","570950","100","55564","227","857","61","82","1.078","513819","512778","100","50417","211","865","69","66","1.041","541061","540009","91","40137","216","858","64","78","1.052","410438","409396","109","41054","86","941","23","36","1.042","396514","395487","98","33942","85","947","20","33","1.027","433450","432415","105","47718","84","952","22","26","1.035","386110","385102","115","46540","95","945","29","26","1.008","357766","356741","92","31626","84","944","22","34","1.025","413502","412470","114","44836","86","950","22","28","1.032","382474","381473","103","36215","78","951","26","23","1.001","391772","390789","94","38420","93","936","33","31","0.983","352110","351129","93","41544","95","939","35","26","0.981","382976","382006","94","37082","79","950","22","28","0.97","435059","433980","110","40320","213","866","59","75","1.079","395216","394194","82","31826","224","865","67","68","1.022","401886","400871","105","38627","231","861","61","78","1.015","422386","421335","97","37588","223","854","63","83","1.051","410917","409885","102","40512","223","863","58","79","1.032","391406","390364","106","36575","224","865","49","86","1.042","421722","420679","91","38393","214","859","66","75","1.043","394916","393892","111","44768","233","844","76","80","1.024","398940","397871","126","47583","207","860","69","71","1.069","410084","409036","103","38713","226","870","62","68","1.048"
"[min]","0","0","0","0","70","956","21","23","0","0","0","0","0","75","952","24","24","0","0","0","0","0","71","958","22","20","0","0","0","0","0","77","960","19","21","0","0","0","0","0","73","947","29","24","0","0","0","0","0","71","955","23","22","0","0","0","0","0","95","940","22","38","0","0","0","0","0","79","946","26","28","0","0","0","0","0","95","933","33","34","0","0","0","0","0","76","958","19","23","0","0","0","0","0","227","861","58","81","0","0","0","0","0","238","855","67","78","0","0","0","0","0","207","868","61","71","0","0","0","0","0","251","850","66","84","0","0","0","0","0","239","847","78","75","0","0","0","0","0","199","871","56","73","0","0","0","0","0","205","859","76","65","0","0","0","0","0","227","857","61","82","0","0","0","0","0","211","865","69","66","0","0","0","0","0","216","858","64","78","0","0","0","0","0","86","941","23","36","0","0","0","0","0","85","947","20","33","0","0","0","0","0","84","952","22","26","0","0","0","0","0","95","945","29","26","0","0","0","0","0","84","944","22","34","0","0","0","0","0","86","950","22","28","0","0","0","0","0","78","951","26","23","0","0","0","0","0","93","936","33","31","0","0","0","0","0","95","939","35","26","0","0","0","0","0","79","950","22","28","0","0","0","0","0","213","866","59","75","0","0","0","0","0","224","865","67","68","0","0","0","0","0","231","861","61","78","0","0","0","0","0","223","854","63","83","0","0","0","0","0","223","863","58","79","0","0","0","0","0","224","865","49","86","0","0","0","0","0","214","859","66","75","0","0","0","0","0","233","844","76","80","0","0","0","0","0","207","860","69","71","0","0","0","0","0","226","870","62","68","0"
