"BehaviorSpace results (NetLogo 6.1.1)"
"Modelo.nlogo"
"experiment"
"07/03/2020 00:45:24:840 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","fakenews-rate","public-groups?","num-users","graphics?","debug?","perc-public-groups","[step]","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users"
"1","10","true","1000","false","false","8","0","0","0","0","0","70","956","21","23","0"
"1","10","true","1000","false","false","8","1","27","0","2","0","70","956","21","23","0.027"
"1","10","true","1000","false","false","8","2","255","191","5","4","70","956","21","23","0.064"
"1","10","true","1000","false","false","8","3","1458","1359","8","73","70","956","21","23","0.099"
"8","10","true","1000","false","false","8","0","0","0","0","0","79","946","26","28","0"
"2","10","true","1000","false","false","8","0","0","0","0","0","75","952","24","24","0"
"2","10","true","1000","false","false","8","1","30","0","3","0","75","952","24","24","0.03"
"8","10","true","1000","false","false","8","1","39","0","2","0","79","946","26","28","0.039"
"7","10","true","1000","false","false","8","0","0","0","0","0","95","940","22","38","0"
"7","10","true","1000","false","false","8","1","29","0","4","0","95","940","22","38","0.029"
"5","10","true","1000","false","false","8","0","0","0","0","0","73","947","29","24","0"
"2","10","true","1000","false","false","8","2","364","299","5","40","75","952","24","24","0.065"
"5","10","true","1000","false","false","8","1","29","0","3","0","73","947","29","24","0.029"
"6","10","true","1000","false","false","8","0","0","0","0","0","71","955","23","22","0"
"8","10","true","1000","false","false","8","2","589","515","5","56","79","946","26","28","0.074"
"7","10","true","1000","false","false","8","2","312","245","10","85","95","940","22","38","0.067"
"6","10","true","1000","false","false","8","1","29","0","1","0","71","955","23","22","0.029"
"5","10","true","1000","false","false","8","2","307","244","5","7","73","947","29","24","0.063"
"6","10","true","1000","false","false","8","2","268","197","6","4","71","955","23","22","0.071"
"2","10","true","1000","false","false","8","3","1987","1886","12","169","75","952","24","24","0.101"
"8","10","true","1000","false","false","8","3","2481","2374","8","279","79","946","26","28","0.107"
"1","10","true","1000","false","false","8","4","4476","4343","10","321","70","956","21","23","0.133"
"7","10","true","1000","false","false","8","3","1970","1863","14","383","95","940","22","38","0.107"
